5 Minute Baguete;https://www.youtube.com/watch?v=Z-husjZkxHw;Pães, Café da Manhã
Quick Bread;https://www.youtube.com/watch?v=k6K196GrqG0;Pães, Café da Manhã
Molho Holandes;https://www.youtube.com/watch?v=lgMFCcIdvzc;Molhos
Olive, Rosemary and Tomato Focaccia | Gordon Ramsay;https://www.youtube.com/watch?v=cyrXkecoHXk;Pães
Finalmente Carbonara;https://www.youtube.com/watch?v=KtXcCHw7bj4;Macarrão, Carbonara
